NAV,Date (DD/MM/YYYY)
0,01/11/2010
0,01/12/2010
0,02/12/2010
0,03/12/2010
0,04/12/2010
0,05/12/2010
0,06/12/2010
0,07/12/2010
0,08/12/2010
0,09/12/2010
0,10/12/2010
0,11/12/2010
0,12/12/2010
0,13/12/2010
0,14/12/2010
0,15/12/2010
0,16/12/2010
0,17/12/2010
0,18/12/2010
0,19/12/2010
0,20/12/2010
0,21/12/2010
0,22/12/2010
0,23/12/2010
0,24/12/2010
0,25/12/2010
0,26/12/2010
0,27/12/2010
0,28/12/2010
0,29/12/2010
0,30/12/2010
0,31/12/2010
0,01/01/2011
0,02/01/2011
0,03/01/2011
0,04/01/2011
0,05/01/2011
0,06/01/2011
0,07/01/2011
0,08/01/2011
0,09/01/2011
0,10/01/2011
0,11/01/2011
0,12/01/2011
0,13/01/2011
0,14/01/2011
0,15/01/2011
0,16/01/2011
0,17/01/2011
0,18/01/2011
0,19/01/2011
0,20/01/2011
0,21/01/2011
0,22/01/2011
0,23/01/2011
0,24/01/2011
0,25/01/2011
0,26/01/2011
0,27/01/2011
0,28/01/2011
0,29/01/2011
0,30/01/2011
0,31/01/2011
0,01/02/2011
0,02/02/2011
0,03/02/2011
0,04/02/2011
0,05/02/2011
0,06/02/2011
0,07/02/2011
0,08/02/2011
0,09/02/2011
0,10/02/2011
0,11/02/2011
0,12/02/2011
0,13/02/2011
0,14/02/2011
0,15/02/2011
0,16/02/2011
0,17/02/2011
0,18/02/2011
0,19/02/2011
0,20/02/2011
0,21/02/2011
0,22/02/2011
0,23/02/2011
0,24/02/2011
0,25/02/2011
0,26/02/2011
0,27/02/2011
0,28/02/2011
0,01/03/2011
0,02/03/2011
0,03/03/2011
0,04/03/2011
0,05/03/2011
0,06/03/2011
0,07/03/2011
0,08/03/2011
0,09/03/2011
0,10/03/2011
0,11/03/2011
0,12/03/2011
0,13/03/2011
0,14/03/2011
0,15/03/2011
0,16/03/2011
0,17/03/2011
0,18/03/2011
0,19/03/2011
0,20/03/2011
0,21/03/2011
