Date (MM/DD/YYYY),Pension Fund Manager Id,Pension Fund Manager,Pension Scheme Id,Pension Scheme,Net Asset Value (INR)
04/29/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,10.4300
05/21/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.2041
05/28/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.2954
05/29/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.1578
06/04/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.4144
06/19/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.6586
06/24/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.7253
06/27/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.6297
06/30/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.7795
07/01/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.8141
07/02/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.9536
07/04/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.0161
07/07/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.0752
07/08/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.8334
07/09/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.7786
07/10/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.7452
07/11/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.5886
07/14/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.5798
07/15/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.6812
07/16/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.8262
07/17/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.8519
07/18/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.8943
07/21/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.9275
07/22/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.0570
07/23/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.1046
07/24/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.1552
07/25/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.0967
07/28/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.0439
07/30/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,12.1046
07/31/2014,PFM009,DSP BLACKROCK PENSION FUND MANAGERS PRIVATE LIMITED,SM009004,DSP BLACKROCK PENSION FUND SCHEME E - TIER II,11.9990
