"Month (MM)","Day (DD)","2026","Average Across Years"
01,27,-5.4740047,-5.4740047
01,28,-5.4673877,-5.4673877
01,29,-5.4673877,-5.4673877
01,30,-4.9627075,-4.9627075
01,31,-4.9627075,-4.9627075
02,01,-4.9627075,-4.9627075
02,02,-4.4245834,-4.4245834
02,03,-5.913385,-5.913385
02,04,-5.8674746,-5.8674746
02,05,-5.6984415,-5.6984415
02,06,-6.0695267,-6.0695267
02,07,-6.0695267,-6.0695267
02,08,-6.0695267,-6.0695267
02,09,-6.5107994,-6.5107994
02,10,-6.745991,-6.745991
02,11,-6.6428385,-6.6428385
02,12,-6.25676,-6.25676
02,13,-5.632541,-5.632541
02,14,-5.632541,-5.632541
02,15,-5.632541,-5.632541
02,16,-6.006943,-6.006943
02,17,-6.254898,-6.254898
02,18,-6.6741757,-6.6741757
02,19,-6.6741757,-6.6741757
02,20,-5.6061554,-5.6061554
02,21,-5.6061554,-5.6061554
02,22,-5.6061554,-5.6061554
02,23,-6.1068444,-6.1068444
02,24,-5.2817273,-5.2817273
02,25,-5.404947,-5.404947
02,26,-5.315884,-5.315884
02,27,-4.406222,-4.406222
02,28,-4.406222,-4.406222
03,01,-4.406222,-4.406222
03,02,-3.810893,-3.810893
03,03,-3.810893,-3.810893
03,04,-2.6408498,-2.6408498
03,05,-3.1605074,-3.1605074
03,06,-2.2532473,-2.2532473
03,07,-2.2532473,-2.2532473
03,08,-2.2532473,-2.2532473
03,09,-0.86835223,-0.86835223
03,10,-1.4717846,-1.4717846
03,11,-0.37940532,-0.37940532
03,12,0.69883287,0.69883287
03,13,1.897243,1.897243
03,14,1.897243,1.897243
03,15,1.897243,1.897243
03,16,1.4456028,1.4456028
03,17,1.0854291,1.0854291
03,18,0.48046637,0.48046637
03,19,0.48046637,0.48046637
03,20,2.888801,2.888801
03,21,2.888801,2.888801
03,22,2.888801,2.888801
03,23,5.220623,5.220623
03,24,4.0542417,4.0542417
03,25,2.765751,2.765751
03,26,2.765751,2.765751
03,27,4.1172767,4.1172767
03,28,4.1172767,4.1172767
03,29,4.1172767,4.1172767
03,30,4.1172767,4.1172767
03,31,6.4805655,6.4805655
04,01,6.4805655,6.4805655
04,02,5.4483333,5.4483333
04,03,5.4483333,5.4483333
04,04,5.4483333,5.4483333
04,05,5.4483333,5.4483333
04,06,4.480937,4.480937
04,07,4.0462246,4.0462246
04,08,0.7643098,0.7643098
04,09,1.3966299,1.3966299
04,10,0.518934,0.518934
04,11,0.518934,0.518934
04,12,0.518934,0.518934
04,13,1.2782177,1.2782177
04,14,1.2782177,1.2782177
04,15,0.0,0.0
04,16,0.0,0.0
04,17,0.0,0.0
04,18,0.0,0.0
04,19,0.0,0.0
04,20,0.0,0.0
04,21,0.0,0.0
04,22,0.0,0.0
04,23,0.0,0.0
04,24,0.0,0.0
04,25,0.0,0.0
04,26,0.0,0.0
04,27,0.0,0.0
04,28,0.0,0.0
04,29,0.0,0.0
04,30,0.0,0.0
05,01,0.0,0.0
05,02,0.0,0.0
05,03,0.0,0.0
05,04,0.0,0.0
05,05,0.0,0.0
05,06,0.0,0.0
05,07,0.0,0.0
05,08,0.0,0.0
05,09,0.0,0.0
05,10,0.0,0.0
05,11,0.0,0.0
05,12,0.0,0.0
05,13,0.0,0.0
05,14,0.0,0.0
05,15,0.0,0.0
05,16,0.0,0.0
05,17,0.0,0.0
05,18,0.0,0.0
05,19,0.0,0.0
05,20,0.0,0.0
05,21,0.0,0.0
05,22,0.0,0.0
05,23,0.0,0.0
05,24,0.0,0.0
05,25,0.0,0.0
05,26,0.0,0.0
05,27,0.0,0.0
05,28,0.0,0.0
05,29,0.0,0.0
05,30,0.0,0.0
05,31,0.0,0.0
06,01,0.0,0.0
06,02,0.0,0.0
06,03,0.0,0.0
06,04,0.0,0.0
06,05,0.0,0.0
06,06,0.0,0.0
06,07,0.0,0.0
06,08,0.0,0.0
06,09,0.0,0.0
06,10,0.0,0.0
06,11,0.0,0.0
06,12,0.0,0.0
06,13,0.0,0.0
06,14,0.0,0.0
06,15,0.0,0.0
06,16,0.0,0.0
06,17,0.0,0.0
06,18,0.0,0.0
06,19,0.0,0.0
06,20,0.0,0.0
06,21,0.0,0.0
06,22,0.0,0.0
06,23,0.0,0.0
06,24,0.0,0.0
06,25,0.0,0.0
06,26,0.0,0.0
06,27,0.0,0.0
06,28,0.0,0.0
06,29,0.0,0.0
06,30,0.0,0.0
07,01,0.0,0.0
07,02,0.0,0.0
07,03,0.0,0.0
07,04,0.0,0.0
07,05,0.0,0.0
07,06,0.0,0.0
07,07,0.0,0.0
07,08,0.0,0.0
07,09,0.0,0.0
07,10,0.0,0.0
07,11,0.0,0.0
07,12,0.0,0.0
07,13,0.0,0.0
07,14,0.0,0.0
07,15,0.0,0.0
07,16,0.0,0.0
07,17,0.0,0.0
07,18,0.0,0.0
07,19,0.0,0.0
07,20,0.0,0.0
07,21,0.0,0.0
07,22,0.0,0.0
07,23,0.0,0.0
07,24,0.0,0.0
07,25,0.0,0.0
07,26,0.0,0.0
07,27,0.0,0.0
07,28,0.0,0.0
07,29,0.0,0.0
07,30,0.0,0.0
07,31,0.0,0.0
08,01,0.0,0.0
08,02,0.0,0.0
08,03,0.0,0.0
08,04,0.0,0.0
08,05,0.0,0.0
08,06,0.0,0.0
08,07,0.0,0.0
08,08,0.0,0.0
08,09,0.0,0.0
08,10,0.0,0.0
08,11,0.0,0.0
08,12,0.0,0.0
08,13,0.0,0.0
08,14,0.0,0.0
08,15,0.0,0.0
08,16,0.0,0.0
08,17,0.0,0.0
08,18,0.0,0.0
08,19,0.0,0.0
08,20,0.0,0.0
08,21,0.0,0.0
08,22,0.0,0.0
08,23,0.0,0.0
08,24,0.0,0.0
08,25,0.0,0.0
08,26,0.0,0.0
08,27,0.0,0.0
08,28,0.0,0.0
08,29,0.0,0.0
08,30,0.0,0.0
08,31,0.0,0.0
09,01,0.0,0.0
09,02,0.0,0.0
09,03,0.0,0.0
09,04,0.0,0.0
09,05,0.0,0.0
09,06,0.0,0.0
09,07,0.0,0.0
09,08,0.0,0.0
09,09,0.0,0.0
09,10,0.0,0.0
09,11,0.0,0.0
09,12,0.0,0.0
09,13,0.0,0.0
09,14,0.0,0.0
09,15,0.0,0.0
09,16,0.0,0.0
09,17,0.0,0.0
09,18,0.0,0.0
09,19,0.0,0.0
09,20,0.0,0.0
09,21,0.0,0.0
09,22,0.0,0.0
09,23,0.0,0.0
09,24,0.0,0.0
09,25,0.0,0.0
