"Month (MM)","Day (DD)","2026","Average Across Years"
01,27,-1.1660004,-1.1660004
01,28,-1.1719286,-1.1719286
01,29,-1.1719286,-1.1719286
01,30,-1.1837832,-1.1837832
01,31,-1.1837832,-1.1837832
02,01,-1.1837832,-1.1837832
02,02,-1.4596547,-1.4596547
02,03,-2.8228686,-2.8228686
02,04,-2.9593136,-2.9593136
02,05,-2.7377594,-2.7377594
02,06,-2.862982,-2.862982
02,07,-2.862982,-2.862982
02,08,-2.862982,-2.862982
02,09,-3.197876,-3.197876
02,10,-3.3030014,-3.3030014
02,11,-3.36162,-3.36162
02,12,-3.0877733,-3.0877733
02,13,-2.4574592,-2.4574592
02,14,-2.4574592,-2.4574592
02,15,-2.4574592,-2.4574592
02,16,-2.8935275,-2.8935275
02,17,-3.0782657,-3.0782657
02,18,-3.2651467,-3.2651467
02,19,-3.2651467,-3.2651467
02,20,-2.7147784,-2.7147784
02,21,-2.7147784,-2.7147784
02,22,-2.7147784,-2.7147784
02,23,-3.0145469,-3.0145469
02,24,-2.6093304,-2.6093304
02,25,-2.7415838,-2.7415838
02,26,-2.862982,-2.862982
02,27,-2.1600513,-2.1600513
02,28,-2.1600513,-2.1600513
03,01,-2.1600513,-2.1600513
03,02,-1.6293269,-1.6293269
03,03,-1.6293269,-1.6293269
03,04,-0.77605057,-0.77605057
03,05,-1.5764302,-1.5764302
03,06,-1.0145546,-1.0145546
03,07,-1.0145546,-1.0145546
03,08,-1.0145546,-1.0145546
03,09,0.13474981,0.13474981
03,10,-0.59341824,-0.59341824
03,11,0.256642,0.256642
03,12,0.90456325,0.90456325
03,13,2.144498,2.144498
03,14,2.144498,2.144498
03,15,2.144498,2.144498
03,16,1.613123,1.613123
03,17,1.2518954,1.2518954
03,18,0.80370647,0.80370647
03,19,0.80370647,0.80370647
03,20,2.6079164,2.6079164
03,21,2.6079164,2.6079164
03,22,2.6079164,2.6079164
03,23,4.3179927,4.3179927
03,24,3.2467625,3.2467625
03,25,2.2861533,2.2861533
03,26,2.2861533,2.2861533
03,27,3.6941485,3.6941485
03,28,3.6941485,3.6941485
03,29,3.6941485,3.6941485
03,30,3.6941485,3.6941485
03,31,5.0118437,5.0118437
04,01,5.0118437,5.0118437
04,02,4.20691,4.20691
04,03,4.20691,4.20691
04,04,4.20691,4.20691
04,05,4.20691,4.20691
04,06,3.472684,3.472684
04,07,2.9027758,2.9027758
04,08,0.6189766,0.6189766
04,09,1.0737906,1.0737906
04,10,0.4645402,0.4645402
04,11,0.4645402,0.4645402
04,12,0.4645402,0.4645402
04,13,0.98394954,0.98394954
04,14,0.98394954,0.98394954
04,15,0.0,0.0
04,16,0.0,0.0
04,17,0.0,0.0
04,18,0.0,0.0
04,19,0.0,0.0
04,20,0.0,0.0
04,21,0.0,0.0
04,22,0.0,0.0
04,23,0.0,0.0
04,24,0.0,0.0
04,25,0.0,0.0
04,26,0.0,0.0
04,27,0.0,0.0
04,28,0.0,0.0
04,29,0.0,0.0
04,30,0.0,0.0
05,01,0.0,0.0
05,02,0.0,0.0
05,03,0.0,0.0
05,04,0.0,0.0
05,05,0.0,0.0
05,06,0.0,0.0
05,07,0.0,0.0
05,08,0.0,0.0
05,09,0.0,0.0
05,10,0.0,0.0
05,11,0.0,0.0
05,12,0.0,0.0
05,13,0.0,0.0
05,14,0.0,0.0
05,15,0.0,0.0
05,16,0.0,0.0
05,17,0.0,0.0
05,18,0.0,0.0
05,19,0.0,0.0
05,20,0.0,0.0
05,21,0.0,0.0
05,22,0.0,0.0
05,23,0.0,0.0
05,24,0.0,0.0
05,25,0.0,0.0
05,26,0.0,0.0
05,27,0.0,0.0
05,28,0.0,0.0
05,29,0.0,0.0
05,30,0.0,0.0
05,31,0.0,0.0
06,01,0.0,0.0
06,02,0.0,0.0
06,03,0.0,0.0
06,04,0.0,0.0
06,05,0.0,0.0
06,06,0.0,0.0
06,07,0.0,0.0
06,08,0.0,0.0
06,09,0.0,0.0
06,10,0.0,0.0
06,11,0.0,0.0
06,12,0.0,0.0
06,13,0.0,0.0
06,14,0.0,0.0
06,15,0.0,0.0
06,16,0.0,0.0
06,17,0.0,0.0
06,18,0.0,0.0
06,19,0.0,0.0
06,20,0.0,0.0
06,21,0.0,0.0
06,22,0.0,0.0
06,23,0.0,0.0
06,24,0.0,0.0
06,25,0.0,0.0
06,26,0.0,0.0
06,27,0.0,0.0
06,28,0.0,0.0
06,29,0.0,0.0
06,30,0.0,0.0
07,01,0.0,0.0
07,02,0.0,0.0
07,03,0.0,0.0
07,04,0.0,0.0
07,05,0.0,0.0
07,06,0.0,0.0
07,07,0.0,0.0
07,08,0.0,0.0
07,09,0.0,0.0
07,10,0.0,0.0
07,11,0.0,0.0
07,12,0.0,0.0
07,13,0.0,0.0
07,14,0.0,0.0
07,15,0.0,0.0
07,16,0.0,0.0
07,17,0.0,0.0
07,18,0.0,0.0
07,19,0.0,0.0
07,20,0.0,0.0
07,21,0.0,0.0
07,22,0.0,0.0
07,23,0.0,0.0
07,24,0.0,0.0
07,25,0.0,0.0
07,26,0.0,0.0
07,27,0.0,0.0
07,28,0.0,0.0
07,29,0.0,0.0
07,30,0.0,0.0
07,31,0.0,0.0
08,01,0.0,0.0
08,02,0.0,0.0
08,03,0.0,0.0
08,04,0.0,0.0
08,05,0.0,0.0
08,06,0.0,0.0
08,07,0.0,0.0
08,08,0.0,0.0
08,09,0.0,0.0
08,10,0.0,0.0
08,11,0.0,0.0
08,12,0.0,0.0
08,13,0.0,0.0
08,14,0.0,0.0
